episode 1: score 260.0, best_score 260.0, best ave score 260.0, trailing 100 games avg 260.0, steps 513, total steps 513
.... saving models ....
episode 2: score 810.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 535.0, steps 687, total steps 1200
episode 3: score 510.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 526.6666666666666, steps 717, total steps 1917
episode 4: score 390.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 492.5, steps 479, total steps 2396
episode 5: score 440.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 482.0, steps 581, total steps 2977
episode 6: score 130.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 423.3333333333333, steps 349, total steps 3326
episode 7: score 700.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 462.85714285714283, steps 681, total steps 4007
episode 8: score 370.0, best_score 810.0, best ave score 535.0, trailing 100 games avg 451.25, steps 527, total steps 4534
episode 9: score 940.0, best_score 940.0, best ave score 535.0, trailing 100 games avg 505.55555555555554, steps 589, total steps 5123
episode 10: score 470.0, best_score 940.0, best ave score 535.0, trailing 100 games avg 502.0, steps 519, total steps 5642
episode 11: score 760.0, best_score 940.0, best ave score 535.0, trailing 100 games avg 525.4545454545455, steps 697, total steps 6339
episode 12: score 360.0, best_score 940.0, best ave score 535.0, trailing 100 games avg 511.6666666666667, steps 419, total steps 6758
episode 13: score 580.0, best_score 940.0, best ave score 535.0, trailing 100 games avg 516.9230769230769, steps 587, total steps 7345
episode 14: score 380.0, best_score 940.0, best ave score 535.0, trailing 100 games avg 507.14285714285717, steps 461, total steps 7806
.... saving models ....
episode 15: score 1090.0, best_score 1090.0, best ave score 546.0, trailing 100 games avg 546.0, steps 669, total steps 8475
.... saving models ....
episode 16: score 960.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 571.875, steps 675, total steps 9150
episode 17: score 120.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 545.2941176470588, steps 469, total steps 9619
episode 18: score 670.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 552.2222222222222, steps 509, total steps 10128
episode 19: score 320.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 540.0, steps 443, total steps 10571
episode 20: score 460.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 536.0, steps 585, total steps 11156
episode 21: score 210.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 520.4761904761905, steps 489, total steps 11645
episode 22: score 400.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 515.0, steps 525, total steps 12170
episode 23: score 200.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 501.30434782608694, steps 303, total steps 12473
episode 24: score 520.0, best_score 1090.0, best ave score 571.875, trailing 100 games avg 502.0833333333333, steps 571, total steps 13044
episode 25: score 1110.0, best_score 1110.0, best ave score 571.875, trailing 100 games avg 526.4, steps 649, total steps 13693
episode 26: score 510.0, best_score 1110.0, best ave score 571.875, trailing 100 games avg 525.7692307692307, steps 649, total steps 14342
episode 27: score 1470.0, best_score 1470.0, best ave score 571.875, trailing 100 games avg 560.7407407407408, steps 941, total steps 15283
episode 28: score 820.0, best_score 1470.0, best ave score 571.875, trailing 100 games avg 570.0, steps 817, total steps 16100
episode 29: score 470.0, best_score 1470.0, best ave score 571.875, trailing 100 games avg 566.551724137931, steps 589, total steps 16689
episode 30: score 560.0, best_score 1470.0, best ave score 571.875, trailing 100 games avg 566.3333333333334, steps 655, total steps 17344
episode 31: score 100.0, best_score 1470.0, best ave score 571.875, trailing 100 games avg 551.2903225806451, steps 317, total steps 17661
episode 32: score 290.0, best_score 1470.0, best ave score 571.875, trailing 100 games avg 543.125, steps 465, total steps 18126
.... saving models ....
episode 33: score 2140.0, best_score 2140.0, best ave score 591.5151515151515, trailing 100 games avg 591.5151515151515, steps 779, total steps 18905
.... saving models ....
episode 34: score 1380.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 614.7058823529412, steps 1057, total steps 19962
episode 35: score 200.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 602.8571428571429, steps 497, total steps 20459
episode 36: score 650.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 604.1666666666666, steps 905, total steps 21364
episode 37: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 596.2162162162163, steps 415, total steps 21779
episode 38: score 210.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 586.0526315789474, steps 327, total steps 22106
episode 39: score 690.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 588.7179487179487, steps 755, total steps 22861
episode 40: score 370.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 583.25, steps 549, total steps 23410
episode 41: score 150.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 572.6829268292682, steps 449, total steps 23859
episode 42: score 750.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 576.9047619047619, steps 699, total steps 24558
episode 43: score 120.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 566.2790697674419, steps 513, total steps 25071
episode 44: score 120.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 556.1363636363636, steps 513, total steps 25584
episode 45: score 900.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 563.7777777777778, steps 1009, total steps 26593
episode 46: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 556.9565217391304, steps 433, total steps 27026
episode 47: score 490.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 555.531914893617, steps 593, total steps 27619
episode 48: score 130.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 546.6666666666666, steps 273, total steps 27892
episode 49: score 430.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 544.2857142857143, steps 409, total steps 28301
episode 50: score 640.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 546.2, steps 743, total steps 29044
episode 51: score 120.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 537.843137254902, steps 559, total steps 29603
episode 52: score 130.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 530.0, steps 573, total steps 30176
episode 53: score 140.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 522.6415094339623, steps 533, total steps 30709
episode 54: score 410.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 520.5555555555555, steps 499, total steps 31208
episode 55: score 430.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 518.9090909090909, steps 479, total steps 31687
episode 56: score 470.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 518.0357142857143, steps 491, total steps 32178
episode 57: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 513.5087719298245, steps 429, total steps 32607
episode 58: score 330.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 510.3448275862069, steps 457, total steps 33064
episode 59: score 190.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 504.91525423728814, steps 423, total steps 33487
episode 60: score 1280.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 517.8333333333334, steps 649, total steps 34136
episode 61: score 300.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 514.2622950819672, steps 451, total steps 34587
episode 62: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 510.64516129032256, steps 491, total steps 35078
episode 63: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 506.3492063492063, steps 495, total steps 35573
episode 64: score 620.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 508.125, steps 771, total steps 36344
episode 65: score 200.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 503.38461538461536, steps 515, total steps 36859
episode 66: score 400.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 501.8181818181818, steps 513, total steps 37372
episode 67: score 390.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 500.14925373134326, steps 483, total steps 37855
episode 68: score 800.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 504.55882352941177, steps 647, total steps 38502
episode 69: score 380.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 502.7536231884058, steps 767, total steps 39269
episode 70: score 280.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 499.57142857142856, steps 473, total steps 39742
episode 71: score 420.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 498.4507042253521, steps 471, total steps 40213
episode 72: score 420.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 497.3611111111111, steps 621, total steps 40834
episode 73: score 370.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 495.6164383561644, steps 513, total steps 41347
episode 74: score 950.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 501.7567567567568, steps 589, total steps 41936
episode 75: score 350.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 499.73333333333335, steps 507, total steps 42443
episode 76: score 440.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 498.94736842105266, steps 441, total steps 42884
episode 77: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 496.23376623376623, steps 439, total steps 43323
episode 78: score 300.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 493.71794871794873, steps 443, total steps 43766
episode 79: score 190.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 489.873417721519, steps 323, total steps 44089
episode 80: score 1040.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 496.75, steps 587, total steps 44676
episode 81: score 720.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 499.5061728395062, steps 601, total steps 45277
episode 82: score 180.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 495.609756097561, steps 311, total steps 45588
episode 83: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 492.7710843373494, steps 353, total steps 45941
episode 84: score 390.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 491.54761904761904, steps 457, total steps 46398
episode 85: score 400.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 490.47058823529414, steps 487, total steps 46885
episode 86: score 430.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 489.7674418604651, steps 437, total steps 47322
episode 87: score 370.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 488.39080459770116, steps 559, total steps 47881
episode 88: score 220.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 485.34090909090907, steps 365, total steps 48246
episode 89: score 170.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 481.7977528089888, steps 411, total steps 48657
episode 90: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 479.1111111111111, steps 337, total steps 48994
episode 91: score 220.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 476.2637362637363, steps 491, total steps 49485
episode 92: score 370.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 475.10869565217394, steps 501, total steps 49986
episode 93: score 220.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 472.36559139784947, steps 427, total steps 50413
episode 94: score 330.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 470.8510638297872, steps 461, total steps 50874
episode 95: score 370.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 469.7894736842105, steps 661, total steps 51535
episode 96: score 210.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 467.0833333333333, steps 529, total steps 52064
episode 97: score 410.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 466.49484536082474, steps 535, total steps 52599
episode 98: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 464.18367346938777, steps 445, total steps 53044
episode 99: score 220.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 461.7171717171717, steps 441, total steps 53485
episode 100: score 360.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 460.7, steps 551, total steps 54036
episode 101: score 380.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 461.9, steps 549, total steps 54585
episode 102: score 1950.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 473.3, steps 687, total steps 55272
episode 103: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 470.8, steps 451, total steps 55723
episode 104: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 469.4, steps 461, total steps 56184
episode 105: score 350.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 468.5, steps 473, total steps 56657
episode 106: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 470.1, steps 503, total steps 57160
episode 107: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 465.8, steps 529, total steps 57689
episode 108: score 280.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 464.9, steps 505, total steps 58194
episode 109: score 340.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 458.9, steps 505, total steps 58699
episode 110: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 457.1, steps 509, total steps 59208
episode 111: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 452.6, steps 545, total steps 59753
episode 112: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 452.1, steps 495, total steps 60248
episode 113: score 160.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 447.9, steps 385, total steps 60633
episode 114: score 340.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 447.5, steps 465, total steps 61098
episode 115: score 180.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 438.4, steps 451, total steps 61549
episode 116: score 180.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 430.6, steps 487, total steps 62036
episode 117: score 280.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 432.2, steps 431, total steps 62467
episode 118: score 450.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 430.0, steps 529, total steps 62996
episode 119: score 370.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 430.5, steps 495, total steps 63491
episode 120: score 180.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 427.7, steps 373, total steps 63864
episode 121: score 170.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 427.3, steps 469, total steps 64333
episode 122: score 190.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 425.2, steps 481, total steps 64814
episode 123: score 210.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 425.3, steps 547, total steps 65361
episode 124: score 1030.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 430.4, steps 595, total steps 65956
episode 125: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 422.0, steps 519, total steps 66475
episode 126: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 420.0, steps 425, total steps 66900
episode 127: score 330.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 408.6, steps 471, total steps 67371
episode 128: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 403.3, steps 503, total steps 67874
episode 129: score 420.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 402.8, steps 743, total steps 68617
episode 130: score 390.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 401.1, steps 485, total steps 69102
episode 131: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 402.7, steps 507, total steps 69609
episode 132: score 400.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 403.8, steps 519, total steps 70128
episode 133: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 385.0, steps 493, total steps 70621
episode 134: score 350.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 374.7, steps 559, total steps 71180
episode 135: score 360.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 376.3, steps 565, total steps 71745
episode 136: score 520.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 375.0, steps 583, total steps 72328
episode 137: score 410.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 376.0, steps 557, total steps 72885
episode 138: score 200.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 375.9, steps 429, total steps 73314
episode 139: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 371.4, steps 419, total steps 73733
episode 140: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 370.2, steps 487, total steps 74220
episode 141: score 300.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 371.7, steps 455, total steps 74675
episode 142: score 520.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 369.4, steps 643, total steps 75318
episode 143: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 370.9, steps 495, total steps 75813
episode 144: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 372.1, steps 433, total steps 76246
episode 145: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 365.8, steps 453, total steps 76699
episode 146: score 990.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 373.2, steps 621, total steps 77320
episode 147: score 230.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 370.6, steps 437, total steps 77757
episode 148: score 420.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 373.5, steps 677, total steps 78434
episode 149: score 350.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 372.7, steps 551, total steps 78985
episode 150: score 230.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 368.6, steps 465, total steps 79450
episode 151: score 280.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 370.2, steps 527, total steps 79977
episode 152: score 200.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 370.9, steps 417, total steps 80394
episode 153: score 300.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 372.5, steps 491, total steps 80885
episode 154: score 190.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 370.3, steps 455, total steps 81340
episode 155: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 368.4, steps 475, total steps 81815
episode 156: score 330.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 367.0, steps 493, total steps 82308
episode 157: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 366.8, steps 445, total steps 82753
episode 158: score 350.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 367.0, steps 563, total steps 83316
episode 159: score 400.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 369.1, steps 469, total steps 83785
episode 160: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 359.2, steps 525, total steps 84310
episode 161: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 358.9, steps 409, total steps 84719
episode 162: score 320.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 359.2, steps 533, total steps 85252
episode 163: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 359.3, steps 445, total steps 85697
episode 164: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 355.8, steps 513, total steps 86210
episode 165: score 290.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 356.7, steps 517, total steps 86727
episode 166: score 380.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 356.5, steps 581, total steps 87308
episode 167: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 355.3, steps 457, total steps 87765
episode 168: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 349.8, steps 493, total steps 88258
episode 169: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 348.5, steps 445, total steps 88703
episode 170: score 170.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 347.4, steps 421, total steps 89124
episode 171: score 400.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 347.2, steps 621, total steps 89745
episode 172: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 345.7, steps 445, total steps 90190
episode 173: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 345.1, steps 533, total steps 90723
episode 174: score 390.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 339.5, steps 633, total steps 91356
